Step     0, Loss:  2.48, Accuracy:   3.12%, Time usage:  0m  3s .
Step  6300, Loss:  0.00, Accuracy: 100.00%, Time usage:  3m 27s .
Step  6400, Loss:  0.03, Accuracy:  99.22%, Time usage:  3m 30s .
Step  6500, Loss:  0.01, Accuracy: 100.00%, Time usage:  3m 32s .
Step  6600, Loss:  0.00, Accuracy: 100.00%, Time usage:  3m 38s .
Step  6700, Loss:  0.00, Accuracy: 100.00%, Time usage:  3m 40s .
Step  6800, Loss:  0.02, Accuracy:  99.22%, Time usage:  3m 43s .
Step  6900, Loss:  0.01, Accuracy:  99.22%, Time usage:  3m 45s .
Step  7000, Loss:  0.00, Accuracy: 100.00%, Time usage:  3m 48s .
Step  7100, Loss:  0.00, Accuracy: 100.00%, Time usage:  3m 53s .
Step  7200, Loss:  0.02, Accuracy:  99.22%, Time usage:  3m 56s .
Step  7300, Loss:  0.00, Accuracy: 100.00%, Time usage:  3m 59s .
Step  7400, Loss:  0.01, Accuracy: 100.00%, Time usage:  4m  1s .
Step  7500, Loss:  0.03, Accuracy:  99.22%, Time usage:  4m  4s .
Step  7600, Loss:  0.00, Accuracy: 100.00%, Time usage:  4m  9s .
Step  7700, Loss:  0.00, Accuracy: 100.00%, Time usage:  4m 12s .
Step  7800, Loss:  0.00, Accuracy: 100.00%, Time usage:  4m 14s .
Step  7900, Loss:  0.00, Accuracy: 100.00%, Time usage:  4m 17s .
Step  8000, Loss:  0.00, Accuracy: 100.00%, Time usage:  4m 22s .
Step  8100, Loss:  0.01, Accuracy: 100.00%, Time usage:  4m 25s .
Step  8200, Loss:  0.01, Accuracy: 100.00%, Time usage:  4m 27s .
Step  8300, Loss:  0.00, Accuracy: 100.00%, Time usage:  4m 30s .
Step  8400, Loss:  0.01, Accuracy: 100.00%, Time usage:  4m 32s .
Step  8500, Loss:  0.00, Accuracy: 100.00%, Time usage:  4m 38s .
Step  8600, Loss:  0.00, Accuracy: 100.00%, Time usage:  4m 40s .
