Step     0, Loss:  6.91, Accuracy:   0.00%, Time usage:  0m  2s .
Step 11200, Loss:  0.23, Accuracy:  92.19%, Time usage: 11m 51s .
Step 11300, Loss:  0.37, Accuracy:  87.50%, Time usage: 12m  0s .
Step 11400, Loss:  0.26, Accuracy:  93.75%, Time usage: 12m  6s .
Step 11500, Loss:  0.27, Accuracy:  91.41%, Time usage: 12m 12s .
Step 11600, Loss:  0.34, Accuracy:  89.84%, Time usage: 12m 17s .
Step 11700, Loss:  0.28, Accuracy:  88.28%, Time usage: 12m 23s .
Step 11800, Loss:  0.43, Accuracy:  84.38%, Time usage: 12m 32s .
Step 11900, Loss:  0.17, Accuracy:  92.97%, Time usage: 12m 38s .
Step 12000, Loss:  0.16, Accuracy:  92.97%, Time usage: 12m 44s .
Step 12100, Loss:  0.20, Accuracy:  89.06%, Time usage: 12m 49s .
Step 12200, Loss:  0.15, Accuracy:  94.53%, Time usage: 12m 58s .
Step 12300, Loss:  0.15, Accuracy:  96.09%, Time usage: 13m  4s .
Step 12400, Loss:  0.25, Accuracy:  92.97%, Time usage: 13m  9s .
Step 12500, Loss:  0.26, Accuracy:  88.28%, Time usage: 13m 16s .
Step 12600, Loss:  0.22, Accuracy:  89.84%, Time usage: 13m 21s .
Step 12700, Loss:  0.22, Accuracy:  92.97%, Time usage: 13m 31s .
Step 12800, Loss:  0.11, Accuracy:  97.66%, Time usage: 13m 37s .
Step 12900, Loss:  0.10, Accuracy:  96.09%, Time usage: 13m 42s .
Step 13000, Loss:  0.18, Accuracy:  95.31%, Time usage: 13m 48s .
Step 13100, Loss:  0.25, Accuracy:  89.84%, Time usage: 13m 54s .
Step 13200, Loss:  0.30, Accuracy:  88.28%, Time usage: 14m  3s .
Step 13300, Loss:  0.31, Accuracy:  90.62%, Time usage: 14m  9s .
Step 13400, Loss:  0.16, Accuracy:  95.31%, Time usage: 14m 15s .
Step 13500, Loss:  0.15, Accuracy:  96.09%, Time usage: 14m 21s .
Step 13600, Loss:  0.12, Accuracy:  68.75%, Time usage: 14m 27s .
Step 13700, Loss:  0.17, Accuracy:  94.53%, Time usage: 14m 36s .
Step 13800, Loss:  0.11, Accuracy:  97.66%, Time usage: 14m 42s .
Step 13900, Loss:  0.09, Accuracy:  96.88%, Time usage: 14m 48s .
Step 14000, Loss:  0.16, Accuracy:  93.75%, Time usage: 14m 54s .
 Time usage of train: 14m 54s .
Step     0, Loss:  0.39, Accuracy:  86.72%, Time usage:  0m  0s .
Test Loss:  0.38, Accuracy: 89.44%
test correctL:8944, len of test:10000
Time Usage:  0.08 mins.
The accuracy of plane: 0.816
The accuracy of car: 0.979
The accuracy of bird: 0.863
The accuracy of cat: 0.909
The accuracy of deer: 0.807
The accuracy of dog: 0.961
The accuracy of frog: 0.718
The accuracy of horse: 0.966
The accuracy of ship: 0.976
The accuracy of truck: 0.949
