Step     0, Loss:  6.91, Accuracy:   0.00%, Time usage:  0m  3s .
Step  8800, Loss:  0.28, Accuracy:  86.72%, Time usage:  9m 20s .
Step  8900, Loss:  0.32, Accuracy:  90.62%, Time usage:  9m 26s .
Step  9000, Loss:  0.27, Accuracy:  90.62%, Time usage:  9m 35s .
Step  9100, Loss:  0.23, Accuracy:  91.41%, Time usage:  9m 41s .
Step  9200, Loss:  0.20, Accuracy:  89.84%, Time usage:  9m 46s .
Step  9300, Loss:  0.21, Accuracy:  92.19%, Time usage:  9m 52s .
Step  9400, Loss:  0.15, Accuracy:  96.09%, Time usage: 10m  1s .
Step  9500, Loss:  0.16, Accuracy:  93.75%, Time usage: 10m  7s .
Step  9600, Loss:  0.20, Accuracy:  92.97%, Time usage: 10m 12s .
Step  9700, Loss:  0.27, Accuracy:  88.28%, Time usage: 10m 18s .
Step  9800, Loss:  0.23, Accuracy:  95.31%, Time usage: 10m 23s .
Step  9900, Loss:  0.18, Accuracy:  92.19%, Time usage: 10m 32s .
Step 10000, Loss:  0.29, Accuracy:  89.84%, Time usage: 10m 38s .
Step 10100, Loss:  0.30, Accuracy:  86.72%, Time usage: 10m 43s .
Step 10200, Loss:  0.15, Accuracy:  93.75%, Time usage: 10m 49s .
Step 10300, Loss:  0.22, Accuracy:  89.84%, Time usage: 10m 55s .
Step 10400, Loss:  0.24, Accuracy:  92.97%, Time usage: 11m  3s .
Step 10500, Loss:  0.22, Accuracy:  92.97%, Time usage: 11m  9s .
Step 10600, Loss:  0.14, Accuracy:  96.09%, Time usage: 11m 14s .
Step 10700, Loss:  0.23, Accuracy:  91.41%, Time usage: 11m 20s .
Step 10800, Loss:  0.19, Accuracy:  94.53%, Time usage: 11m 29s .
Step 10900, Loss:  0.17, Accuracy:  94.53%, Time usage: 11m 35s .
Step 11000, Loss:  0.18, Accuracy:  92.97%, Time usage: 11m 41s .
Step 11100, Loss:  0.15, Accuracy:  94.53%, Time usage: 11m 46s .
Step 11200, Loss:  0.20, Accuracy:  92.97%, Time usage: 11m 52s .
Step 11300, Loss:  0.08, Accuracy:  96.88%, Time usage: 12m  1s .
Step 11400, Loss:  0.16, Accuracy:  94.53%, Time usage: 12m  6s .
Step 11500, Loss:  0.06, Accuracy:  97.66%, Time usage: 12m 12s .
Step 11600, Loss:  0.16, Accuracy:  93.75%, Time usage: 12m 17s .
Step 11700, Loss:  0.13, Accuracy:  95.31%, Time usage: 12m 23s .
Step 11800, Loss:  0.11, Accuracy:  96.88%, Time usage: 12m 32s .
Step 11900, Loss:  0.08, Accuracy:  98.44%, Time usage: 12m 38s .
Step 12000, Loss:  0.17, Accuracy:  96.09%, Time usage: 12m 43s .
Step 12100, Loss:  0.35, Accuracy:  90.62%, Time usage: 12m 49s .
Step 12200, Loss:  0.09, Accuracy:  97.66%, Time usage: 12m 58s .
