Step     0, Loss:  6.91, Accuracy:   0.00%, Time usage:  0m  2s .
Step 12000, Loss:  0.00, Accuracy: 100.00%, Time usage: 12m 51s .
Step 12100, Loss:  0.01, Accuracy:  99.22%, Time usage: 12m 57s .
Step 12200, Loss:  0.04, Accuracy:  99.22%, Time usage: 13m  6s .
Step 12300, Loss:  0.01, Accuracy:  99.22%, Time usage: 13m 12s .
Step 12400, Loss:  0.01, Accuracy:  99.22%, Time usage: 13m 17s .
Step 12500, Loss:  0.06, Accuracy:  97.66%, Time usage: 13m 23s .
Step 12600, Loss:  0.05, Accuracy:  98.44%, Time usage: 13m 29s .
Step 12700, Loss:  0.00, Accuracy: 100.00%, Time usage: 13m 38s .
Step 12800, Loss:  0.01, Accuracy: 100.00%, Time usage: 13m 44s .
Step 12900, Loss:  0.00, Accuracy: 100.00%, Time usage: 13m 50s .
Step 13000, Loss:  0.02, Accuracy:  99.22%, Time usage: 13m 56s .
Step 13100, Loss:  0.01, Accuracy:  99.22%, Time usage: 14m  2s .
Step 13200, Loss:  0.00, Accuracy: 100.00%, Time usage: 14m 11s .
Step 13300, Loss:  0.00, Accuracy: 100.00%, Time usage: 14m 16s .
Step 13400, Loss:  0.01, Accuracy:  99.22%, Time usage: 14m 22s .
Step 13500, Loss:  0.00, Accuracy: 100.00%, Time usage: 14m 29s .
Step 13600, Loss:  0.00, Accuracy:  75.00%, Time usage: 14m 35s .
Step 13700, Loss:  0.02, Accuracy:  99.22%, Time usage: 14m 44s .
Step 13800, Loss:  0.00, Accuracy: 100.00%, Time usage: 14m 50s .
Step 13900, Loss:  0.01, Accuracy:  99.22%, Time usage: 14m 55s .
Step 14000, Loss:  0.01, Accuracy: 100.00%, Time usage: 15m  1s .
 Time usage of train: 15m  1s .
Step     0, Loss:  0.00, Accuracy: 100.00%, Time usage:  0m  2s .
Test Loss:  0.04, Accuracy: 98.96%
test correctL:9896, len of test:10000
Time Usage:  0.10 mins.
The accuracy of plane: 0.9959183673469387
The accuracy of car: 0.9903083700440528
The accuracy of bird: 0.9883720930232558
The accuracy of cat: 0.995049504950495
The accuracy of deer: 0.9928716904276986
The accuracy of dog: 0.9887892376681614
The accuracy of frog: 0.9853862212943633
The accuracy of horse: 0.9931906614785992
The accuracy of ship: 0.9887063655030801
The accuracy of truck: 0.977205153617443
