Step     0, Loss:  6.91, Accuracy:   0.00%, Time usage:  0m  3s .
Step  9300, Loss:  0.00, Accuracy: 100.00%, Time usage: 56m 30s .
Step  9400, Loss:  0.04, Accuracy:  99.22%, Time usage: 57m  9s .
Step  9500, Loss:  0.03, Accuracy:  98.44%, Time usage: 57m 45s .
Step  9600, Loss:  0.00, Accuracy: 100.00%, Time usage: 58m 21s .
Step  9700, Loss:  0.01, Accuracy: 100.00%, Time usage: 58m 58s .
Step  9800, Loss:  0.02, Accuracy:  99.22%, Time usage: 59m 33s .
Step  9900, Loss:  0.00, Accuracy: 100.00%, Time usage: 60m 13s .
Step 10000, Loss:  0.06, Accuracy:  97.66%, Time usage: 60m 49s .
Step 10100, Loss:  0.01, Accuracy:  99.22%, Time usage: 61m 24s .
Step 10200, Loss:  0.00, Accuracy: 100.00%, Time usage: 62m  0s .
Step 10300, Loss:  0.00, Accuracy: 100.00%, Time usage: 62m 35s .
Step 10400, Loss:  0.05, Accuracy:  97.66%, Time usage: 63m 14s .
Step 10500, Loss:  0.02, Accuracy:  99.22%, Time usage: 63m 49s .
Step 10600, Loss:  0.00, Accuracy: 100.00%, Time usage: 64m 24s .
Step 10700, Loss:  0.00, Accuracy: 100.00%, Time usage: 64m 59s .
Step 10800, Loss:  0.03, Accuracy:  99.22%, Time usage: 65m 38s .
Step 10900, Loss:  0.01, Accuracy:  99.22%, Time usage: 66m 14s .
Step 11000, Loss:  0.01, Accuracy:  99.22%, Time usage: 66m 50s .
Step 11100, Loss:  0.00, Accuracy: 100.00%, Time usage: 67m 26s .
Step 11200, Loss:  0.05, Accuracy:  98.44%, Time usage: 68m  1s .
Step 11300, Loss:  0.05, Accuracy:  98.44%, Time usage: 68m 40s .
Step 11400, Loss:  0.00, Accuracy: 100.00%, Time usage: 69m 15s .
Step 11500, Loss:  0.01, Accuracy:  99.22%, Time usage: 69m 50s .
Step 11600, Loss:  0.02, Accuracy:  99.22%, Time usage: 70m 26s .
