Step     0, Loss:  2.36, Accuracy:  13.28%, Time usage:  0m  2s .
Step 10400, Loss:  0.06, Accuracy:  98.44%, Time usage: 13m  8s .
Step 10500, Loss:  0.16, Accuracy:  93.75%, Time usage: 13m 15s .
Step 10600, Loss:  0.04, Accuracy:  98.44%, Time usage: 13m 21s .
Step 10700, Loss:  0.08, Accuracy:  97.66%, Time usage: 13m 28s .
Step 10800, Loss:  0.03, Accuracy:  99.22%, Time usage: 13m 38s .
Step 10900, Loss:  0.10, Accuracy:  95.31%, Time usage: 13m 45s .
Step 11000, Loss:  0.05, Accuracy:  98.44%, Time usage: 13m 52s .
Step 11100, Loss:  0.04, Accuracy:  99.22%, Time usage: 13m 59s .
Step 11200, Loss:  0.16, Accuracy:  95.31%, Time usage: 14m  5s .
Step 11300, Loss:  0.07, Accuracy:  97.66%, Time usage: 14m 16s .
Step 11400, Loss:  0.02, Accuracy: 100.00%, Time usage: 14m 22s .
Step 11500, Loss:  0.03, Accuracy:  99.22%, Time usage: 14m 29s .
Step 11600, Loss:  0.09, Accuracy:  97.66%, Time usage: 14m 36s .
Step 11700, Loss:  0.10, Accuracy:  96.09%, Time usage: 14m 42s .
Step 11800, Loss:  0.05, Accuracy:  99.22%, Time usage: 14m 53s .
Step 11900, Loss:  0.04, Accuracy:  99.22%, Time usage: 14m 59s .
Step 12000, Loss:  0.12, Accuracy:  93.75%, Time usage: 15m  6s .
Step 12100, Loss:  0.06, Accuracy:  96.88%, Time usage: 15m 13s .
Step 12200, Loss:  0.02, Accuracy:  99.22%, Time usage: 15m 23s .
Step 12300, Loss:  0.02, Accuracy:  98.44%, Time usage: 15m 30s .
Step 12400, Loss:  0.18, Accuracy:  95.31%, Time usage: 15m 36s .
Step 12500, Loss:  0.08, Accuracy:  97.66%, Time usage: 15m 43s .
Step 12600, Loss:  0.03, Accuracy:  99.22%, Time usage: 15m 50s .
Step 12700, Loss:  0.03, Accuracy:  99.22%, Time usage: 16m  0s .
Step 12800, Loss:  0.11, Accuracy:  94.53%, Time usage: 16m  7s .
Step 12900, Loss:  0.03, Accuracy:  99.22%, Time usage: 16m 14s .
Step 13000, Loss:  0.08, Accuracy:  98.44%, Time usage: 16m 20s .
Step 13100, Loss:  0.07, Accuracy:  99.22%, Time usage: 16m 27s .
Step 13200, Loss:  0.06, Accuracy:  97.66%, Time usage: 16m 37s .
Step 13300, Loss:  0.02, Accuracy:  99.22%, Time usage: 16m 44s .
Step 13400, Loss:  0.04, Accuracy:  98.44%, Time usage: 16m 51s .
Step 13500, Loss:  0.05, Accuracy:  98.44%, Time usage: 16m 58s .
Step 13600, Loss:  0.10, Accuracy:  72.66%, Time usage: 17m  4s .
