Step     0, Loss:  2.44, Accuracy:   7.81%, Time usage:  0m  2s .
Step  6100, Loss:  0.01, Accuracy: 100.00%, Time usage:  1m 23s .
Step  6200, Loss:  0.00, Accuracy: 100.00%, Time usage:  1m 23s .
Step  6300, Loss:  0.00, Accuracy: 100.00%, Time usage:  1m 24s .
Step  6400, Loss:  0.01, Accuracy:  99.22%, Time usage:  1m 25s .
Step  6500, Loss:  0.01, Accuracy: 100.00%, Time usage:  1m 25s .
Step  6600, Loss:  0.01, Accuracy: 100.00%, Time usage:  1m 29s .
Step  6700, Loss:  0.01, Accuracy: 100.00%, Time usage:  1m 30s .
Step  6800, Loss:  0.00, Accuracy: 100.00%, Time usage:  1m 30s .
Step  6900, Loss:  0.00, Accuracy: 100.00%, Time usage:  1m 31s .
Step  7000, Loss:  0.01, Accuracy:  99.22%, Time usage:  1m 32s .
Step  7100, Loss:  0.00, Accuracy: 100.00%, Time usage:  1m 36s .
Step  7200, Loss:  0.00, Accuracy: 100.00%, Time usage:  1m 36s .
Step  7300, Loss:  0.00, Accuracy: 100.00%, Time usage:  1m 37s .
Step  7400, Loss:  0.00, Accuracy: 100.00%, Time usage:  1m 38s .
Step  7500, Loss:  0.00, Accuracy: 100.00%, Time usage:  1m 38s .
Step  7600, Loss:  0.00, Accuracy: 100.00%, Time usage:  1m 42s .
Step  7700, Loss:  0.00, Accuracy: 100.00%, Time usage:  1m 43s .
Step  7800, Loss:  0.00, Accuracy: 100.00%, Time usage:  1m 44s .
Step  7900, Loss:  0.00, Accuracy: 100.00%, Time usage:  1m 44s .
Step  8000, Loss:  0.00, Accuracy: 100.00%, Time usage:  1m 48s .
Step  8100, Loss:  0.00, Accuracy: 100.00%, Time usage:  1m 49s .
Step  8200, Loss:  0.00, Accuracy: 100.00%, Time usage:  1m 50s .
Step  8300, Loss:  0.00, Accuracy: 100.00%, Time usage:  1m 50s .
Step  8400, Loss:  0.00, Accuracy: 100.00%, Time usage:  1m 51s .
Step  8500, Loss:  0.00, Accuracy: 100.00%, Time usage:  1m 55s .
Step  8600, Loss:  0.01, Accuracy: 100.00%, Time usage:  1m 55s .
Step  8700, Loss:  0.00, Accuracy: 100.00%, Time usage:  1m 56s .
Step  8800, Loss:  0.02, Accuracy:  99.22%, Time usage:  1m 57s .
Step  8900, Loss:  0.00, Accuracy: 100.00%, Time usage:  1m 57s .
Step  9000, Loss:  0.00, Accuracy: 100.00%, Time usage:  2m  1s .
Step  9100, Loss:  0.00, Accuracy: 100.00%, Time usage:  2m  2s .
Step  9200, Loss:  0.00, Accuracy: 100.00%, Time usage:  2m  2s .
Step  9300, Loss:  0.00, Accuracy: 100.00%, Time usage:  2m  3s .
Step  9400, Loss:  0.00, Accuracy: 100.00%, Time usage:  2m  6s .
Step  9500, Loss:  0.00, Accuracy: 100.00%, Time usage:  2m  7s .
Step  9600, Loss:  0.01, Accuracy: 100.00%, Time usage:  2m  8s .
Step  9700, Loss:  0.02, Accuracy:  99.22%, Time usage:  2m  8s .
