Step     0, Loss:  2.31, Accuracy:  14.06%, Time usage:  0m  2s .
Step  7600, Loss:  0.00, Accuracy: 100.00%, Time usage:  1m 44s .
Step  7700, Loss:  0.00, Accuracy: 100.00%, Time usage:  1m 45s .
Step  7800, Loss:  0.00, Accuracy: 100.00%, Time usage:  1m 45s .
Step  7900, Loss:  0.00, Accuracy: 100.00%, Time usage:  1m 46s .
Step  8000, Loss:  0.00, Accuracy: 100.00%, Time usage:  1m 50s .
Step  8100, Loss:  0.00, Accuracy: 100.00%, Time usage:  1m 50s .
Step  8200, Loss:  0.00, Accuracy: 100.00%, Time usage:  1m 51s .
Step  8300, Loss:  0.00, Accuracy: 100.00%, Time usage:  1m 51s .
Step  8400, Loss:  0.00, Accuracy: 100.00%, Time usage:  1m 52s .
Step  8500, Loss:  0.00, Accuracy: 100.00%, Time usage:  1m 56s .
Step  8600, Loss:  0.00, Accuracy: 100.00%, Time usage:  1m 57s .
Step  8700, Loss:  0.00, Accuracy: 100.00%, Time usage:  1m 57s .
Step  8800, Loss:  0.02, Accuracy:  99.22%, Time usage:  1m 58s .
Step  8900, Loss:  0.05, Accuracy:  99.22%, Time usage:  1m 58s .
Step  9000, Loss:  0.00, Accuracy: 100.00%, Time usage:  2m  2s .
Step  9100, Loss:  0.00, Accuracy: 100.00%, Time usage:  2m  3s .
Step  9200, Loss:  0.01, Accuracy:  99.22%, Time usage:  2m  4s .
Step  9300, Loss:  0.02, Accuracy:  98.44%, Time usage:  2m  4s .
Step  9400, Loss:  0.00, Accuracy: 100.00%, Time usage:  2m  8s .
Step  9500, Loss:  0.00, Accuracy: 100.00%, Time usage:  2m  9s .
Step  9600, Loss:  0.00, Accuracy: 100.00%, Time usage:  2m  9s .
Step  9700, Loss:  0.02, Accuracy:  99.22%, Time usage:  2m 10s .
Step  9800, Loss:  0.00, Accuracy: 100.00%, Time usage:  2m 11s .
Step  9900, Loss:  0.00, Accuracy: 100.00%, Time usage:  2m 15s .
Step 10000, Loss:  0.00, Accuracy: 100.00%, Time usage:  2m 15s .
Step 10100, Loss:  0.00, Accuracy: 100.00%, Time usage:  2m 16s .
Step 10200, Loss:  0.00, Accuracy: 100.00%, Time usage:  2m 17s .
Step 10300, Loss:  0.00, Accuracy: 100.00%, Time usage:  2m 17s .
Step 10400, Loss:  0.00, Accuracy: 100.00%, Time usage:  2m 21s .
Step 10500, Loss:  0.00, Accuracy: 100.00%, Time usage:  2m 22s .
Step 10600, Loss:  0.01, Accuracy:  99.22%, Time usage:  2m 23s .
Step 10700, Loss:  0.00, Accuracy: 100.00%, Time usage:  2m 24s .
Step 10800, Loss:  0.00, Accuracy: 100.00%, Time usage:  2m 29s .
Step 10900, Loss:  0.00, Accuracy: 100.00%, Time usage:  2m 29s .
Step 11000, Loss:  0.00, Accuracy: 100.00%, Time usage:  2m 30s .
Step 11100, Loss:  0.00, Accuracy: 100.00%, Time usage:  2m 31s .
Step 11200, Loss:  0.00, Accuracy: 100.00%, Time usage:  2m 31s .
Step 11300, Loss:  0.01, Accuracy:  99.22%, Time usage:  2m 36s .
Step 11400, Loss:  0.00, Accuracy: 100.00%, Time usage:  2m 37s .
Step 11500, Loss:  0.00, Accuracy: 100.00%, Time usage:  2m 38s .
Step 11600, Loss:  0.00, Accuracy: 100.00%, Time usage:  2m 38s .
Step 11700, Loss:  0.00, Accuracy: 100.00%, Time usage:  2m 39s .
Step 11800, Loss:  0.01, Accuracy:  99.22%, Time usage:  2m 44s .
Step 11900, Loss:  0.00, Accuracy: 100.00%, Time usage:  2m 45s .
Step 12000, Loss:  0.00, Accuracy: 100.00%, Time usage:  2m 45s .
Step 12100, Loss:  0.02, Accuracy:  99.22%, Time usage:  2m 46s .
Step 12200, Loss:  0.00, Accuracy: 100.00%, Time usage:  2m 50s .
Step 12300, Loss:  0.00, Accuracy: 100.00%, Time usage:  2m 51s .
Step 12400, Loss:  0.02, Accuracy:  99.22%, Time usage:  2m 52s .
Step 12500, Loss:  0.00, Accuracy: 100.00%, Time usage:  2m 53s .
Step 12600, Loss:  0.00, Accuracy: 100.00%, Time usage:  2m 53s .
Step 12700, Loss:  0.00, Accuracy: 100.00%, Time usage:  2m 58s .
Step 12800, Loss:  0.00, Accuracy: 100.00%, Time usage:  2m 59s .
Step 12900, Loss:  0.00, Accuracy: 100.00%, Time usage:  2m 59s .
Step 13000, Loss:  0.00, Accuracy: 100.00%, Time usage:  3m  0s .
Step 13100, Loss:  0.00, Accuracy: 100.00%, Time usage:  3m  1s .
Step 13200, Loss:  0.00, Accuracy: 100.00%, Time usage:  3m  5s .
Step 13300, Loss:  0.04, Accuracy:  99.22%, Time usage:  3m  6s .
Step 13400, Loss:  0.00, Accuracy: 100.00%, Time usage:  3m  7s .
Step 13500, Loss:  0.01, Accuracy: 100.00%, Time usage:  3m  8s .
Step 13600, Loss:  0.00, Accuracy:  75.00%, Time usage:  3m  8s .
Step 13700, Loss:  0.00, Accuracy: 100.00%, Time usage:  3m 13s .
Step 13800, Loss:  0.00, Accuracy: 100.00%, Time usage:  3m 14s .
Step 13900, Loss:  0.00, Accuracy: 100.00%, Time usage:  3m 14s .
Step 14000, Loss:  0.01, Accuracy:  99.22%, Time usage:  3m 15s .
 Time usage of train:  3m 15s .
Step     0, Loss:  0.06, Accuracy:  98.44%, Time usage:  0m  3s .
Test Loss:  0.04, Accuracy: 99.07%
test correctL:9907, len of test:10000
Time Usage:  0.12 mins.
The accuracy of plane: 0.996938775510204
The accuracy of car: 0.9955947136563876
The accuracy of bird: 0.9912790697674418
The accuracy of cat: 0.9910891089108911
The accuracy of deer: 0.9887983706720977
The accuracy of dog: 0.9854260089686099
The accuracy of frog: 0.9864300626304802
The accuracy of horse: 0.995136186770428
The accuracy of ship: 0.9907597535934292
The accuracy of truck: 0.9841427155599604
