Epoch:   100 processes:    0 Step   100, Loss:  0.00, Accuracy: 100.00%, Time usage:  6m 39s .
Epoch:   200 processes:    0 Step   200, Loss:  0.00, Accuracy: 100.00%, Time usage:  6m 43s .
Epoch:   300 processes:    0 Step   300, Loss:  0.00, Accuracy: 100.00%, Time usage:  6m 47s .
Epoch:   400 processes:    0 Step   400, Loss:  0.00, Accuracy: 100.00%, Time usage:  6m 52s .
Epoch:     0 processes:    1 Step     0, Loss:  0.00, Accuracy: 100.00%, Time usage:  6m 35s .
Epoch:   100 processes:    1 Step   100, Loss:  0.00, Accuracy: 100.00%, Time usage:  6m 40s .
Epoch:   200 processes:    1 Step   200, Loss:  0.00, Accuracy: 100.00%, Time usage:  6m 44s .
Epoch:   300 processes:    1 Step   300, Loss:  0.00, Accuracy: 100.00%, Time usage:  6m 48s .
Epoch:   400 processes:    1 Step   400, Loss:  0.00, Accuracy: 100.00%, Time usage:  6m 53s .
Epoch:     0 processes:    0 Step     0, Loss:  0.00, Accuracy: 100.00%, Time usage:  7m  3s .
Epoch:   100 processes:    0 Step   100, Loss:  0.00, Accuracy: 100.00%, Time usage:  7m  8s .
Epoch:   200 processes:    0 Step   200, Loss:  0.00, Accuracy: 100.00%, Time usage:  7m 12s .
Epoch:   300 processes:    0 Step   300, Loss:  0.00, Accuracy: 100.00%, Time usage:  7m 17s .
Epoch:   400 processes:    0 Step   400, Loss:  0.00, Accuracy: 100.00%, Time usage:  7m 21s .
Epoch:     0 processes:    1 Step     0, Loss:  0.00, Accuracy: 100.00%, Time usage:  7m  4s .
Epoch:   100 processes:    1 Step   100, Loss:  0.00, Accuracy: 100.00%, Time usage:  7m  8s .
Epoch:   200 processes:    1 Step   200, Loss:  0.00, Accuracy: 100.00%, Time usage:  7m 13s .
Epoch:   300 processes:    1 Step   300, Loss:  0.00, Accuracy: 100.00%, Time usage:  7m 17s .
Epoch:   400 processes:    1 Step   400, Loss:  0.00, Accuracy: 100.00%, Time usage:  7m 21s .
 Time usage of train:  7m 21s .
Step     0, Loss:  0.05, Accuracy:  99.22%, Time usage:  0m  2s .
Test Loss:  0.04, Accuracy: 99.16%
test correctL:9916, len of test:10000
Time Usage:  0.08 mins.
The accuracy of plane: 0.996938775510204
The accuracy of car: 0.9973568281938326
The accuracy of bird: 0.9922480620155039
The accuracy of cat: 0.996039603960396
The accuracy of deer: 0.9887983706720977
The accuracy of dog: 0.9899103139013453
The accuracy of frog: 0.988517745302714
The accuracy of horse: 0.9892996108949417
The accuracy of ship: 0.9907597535934292
The accuracy of truck: 0.9851337958374629
