Step     0, Loss:  2.46, Accuracy:  10.16%, Time usage:  0m  3s .
Step 12600, Loss:  0.03, Accuracy:  99.22%, Time usage:  4m 28s .
Step 12700, Loss:  0.00, Accuracy: 100.00%, Time usage:  4m 33s .
Step 12800, Loss:  0.00, Accuracy: 100.00%, Time usage:  4m 34s .
Step 12900, Loss:  0.00, Accuracy: 100.00%, Time usage:  4m 36s .
Step 13000, Loss:  0.00, Accuracy: 100.00%, Time usage:  4m 37s .
Step 13100, Loss:  0.00, Accuracy: 100.00%, Time usage:  4m 38s .
Step 13200, Loss:  0.00, Accuracy: 100.00%, Time usage:  4m 44s .
Step 13300, Loss:  0.00, Accuracy: 100.00%, Time usage:  4m 45s .
Step 13400, Loss:  0.00, Accuracy: 100.00%, Time usage:  4m 46s .
Step 13500, Loss:  0.00, Accuracy: 100.00%, Time usage:  4m 47s .
Step 13600, Loss:  0.00, Accuracy:  75.00%, Time usage:  4m 48s .
Step 13700, Loss:  0.00, Accuracy: 100.00%, Time usage:  4m 54s .
Step 13800, Loss:  0.02, Accuracy: 100.00%, Time usage:  4m 55s .
Step 13900, Loss:  0.01, Accuracy: 100.00%, Time usage:  4m 56s .
Step 14000, Loss:  0.02, Accuracy:  99.22%, Time usage:  4m 57s .
 Time usage of train:  4m 57s .
Step     0, Loss:  0.00, Accuracy: 100.00%, Time usage:  0m  3s .
Test Loss:  0.04, Accuracy: 99.08%
test correctL:9908, len of test:10000
Time Usage:  0.10 mins.
The accuracy of plane: 0.9948979591836735
The accuracy of car: 0.9964757709251101
The accuracy of bird: 0.9825581395348837
The accuracy of cat: 0.9930693069306931
The accuracy of deer: 0.9959266802443992
The accuracy of dog: 0.992152466367713
The accuracy of frog: 0.9916492693110647
The accuracy of horse: 0.995136186770428
The accuracy of ship: 0.9897330595482546
The accuracy of truck: 0.9762140733399405
