Epoch:     0 processes:    0 Step     0, Loss:  0.00, Accuracy: 100.00%, Time usage: 14m  9s .
Epoch:   100 processes:    0 Step   100, Loss:  0.00, Accuracy: 100.00%, Time usage: 14m 28s .
Epoch:   200 processes:    0 Step   200, Loss:  0.04, Accuracy:  99.22%, Time usage: 14m 45s .
Epoch:   300 processes:    0 Step   300, Loss:  0.00, Accuracy: 100.00%, Time usage: 15m  3s .
Epoch:   400 processes:    0 Step   400, Loss:  0.01, Accuracy:  99.22%, Time usage: 15m 23s .
Epoch:     0 processes:    1 Step     0, Loss:  0.00, Accuracy: 100.00%, Time usage: 14m 13s .
Epoch:   100 processes:    1 Step   100, Loss:  0.00, Accuracy: 100.00%, Time usage: 14m 30s .
Epoch:   200 processes:    1 Step   200, Loss:  0.00, Accuracy: 100.00%, Time usage: 14m 49s .
Epoch:   300 processes:    1 Step   300, Loss:  0.00, Accuracy: 100.00%, Time usage: 15m  7s .
Epoch:   400 processes:    1 Step   400, Loss:  0.01, Accuracy: 100.00%, Time usage: 15m 26s .
Epoch:     0 processes:    0 Step     0, Loss:  0.00, Accuracy: 100.00%, Time usage: 15m 45s .
Epoch:   100 processes:    0 Step   100, Loss:  0.00, Accuracy: 100.00%, Time usage: 16m  5s .
Epoch:   200 processes:    0 Step   200, Loss:  0.01, Accuracy: 100.00%, Time usage: 16m 20s .
Epoch:   300 processes:    0 Step   300, Loss:  0.00, Accuracy: 100.00%, Time usage: 16m 36s .
Epoch:   400 processes:    0 Step   400, Loss:  0.09, Accuracy:  98.44%, Time usage: 16m 51s .
Epoch:     0 processes:    1 Step     0, Loss:  0.00, Accuracy: 100.00%, Time usage: 15m 49s .
Epoch:   100 processes:    1 Step   100, Loss:  0.00, Accuracy: 100.00%, Time usage: 16m  7s .
Epoch:   200 processes:    1 Step   200, Loss:  0.00, Accuracy: 100.00%, Time usage: 16m 22s .
Epoch:   300 processes:    1 Step   300, Loss:  0.00, Accuracy: 100.00%, Time usage: 16m 39s .
Epoch:   400 processes:    1 Step   400, Loss:  0.01, Accuracy: 100.00%, Time usage: 16m 53s .
Epoch:     0 processes:    0 Step     0, Loss:  0.02, Accuracy:  99.22%, Time usage: 17m  9s .
Epoch:   100 processes:    0 Step   100, Loss:  0.00, Accuracy: 100.00%, Time usage: 17m 26s .
Epoch:   200 processes:    0 Step   200, Loss:  0.02, Accuracy:  99.22%, Time usage: 17m 42s .
Epoch:   300 processes:    0 Step   300, Loss:  0.00, Accuracy: 100.00%, Time usage: 17m 59s .
Epoch:   400 processes:    0 Step   400, Loss:  0.00, Accuracy: 100.00%, Time usage: 18m 14s .
Epoch:     0 processes:    1 Step     0, Loss:  0.00, Accuracy: 100.00%, Time usage: 17m 14s .
Epoch:   100 processes:    1 Step   100, Loss:  0.00, Accuracy: 100.00%, Time usage: 17m 30s .
Epoch:   200 processes:    1 Step   200, Loss:  0.00, Accuracy: 100.00%, Time usage: 17m 46s .
Epoch:   300 processes:    1 Step   300, Loss:  0.01, Accuracy: 100.00%, Time usage: 18m  2s .
Epoch:   400 processes:    1 Step   400, Loss:  0.00, Accuracy: 100.00%, Time usage: 18m 17s .
Epoch:     0 processes:    0 Step     0, Loss:  0.00, Accuracy: 100.00%, Time usage: 18m 34s .
Epoch:   100 processes:    0 Step   100, Loss:  0.00, Accuracy: 100.00%, Time usage: 18m 51s .
Epoch:   200 processes:    0 Step   200, Loss:  0.05, Accuracy:  99.22%, Time usage: 19m  8s .
Epoch:   300 processes:    0 Step   300, Loss:  0.00, Accuracy: 100.00%, Time usage: 19m 22s .
Epoch:   400 processes:    0 Step   400, Loss:  0.00, Accuracy: 100.00%, Time usage: 19m 37s .
Epoch:     0 processes:    1 Step     0, Loss:  0.01, Accuracy:  99.22%, Time usage: 18m 39s .
Epoch:   100 processes:    1 Step   100, Loss:  0.00, Accuracy: 100.00%, Time usage: 18m 54s .
Epoch:   200 processes:    1 Step   200, Loss:  0.00, Accuracy: 100.00%, Time usage: 19m 11s .
Epoch:   300 processes:    1 Step   300, Loss:  0.00, Accuracy: 100.00%, Time usage: 19m 25s .
Epoch:   400 processes:    1 Step   400, Loss:  0.00, Accuracy: 100.00%, Time usage: 19m 40s .
Epoch:     0 processes:    0 Step     0, Loss:  0.00, Accuracy: 100.00%, Time usage: 19m 56s .
Epoch:   100 processes:    0 Step   100, Loss:  0.00, Accuracy: 100.00%, Time usage: 20m 16s .
Epoch:   200 processes:    0 Step   200, Loss:  0.00, Accuracy: 100.00%, Time usage: 20m 32s .
Epoch:   300 processes:    0 Step   300, Loss:  0.00, Accuracy: 100.00%, Time usage: 20m 49s .
Epoch:   400 processes:    0 Step   400, Loss:  0.00, Accuracy: 100.00%, Time usage: 21m  6s .
Epoch:     0 processes:    1 Step     0, Loss:  0.01, Accuracy:  99.22%, Time usage: 20m  0s .
Epoch:   100 processes:    1 Step   100, Loss:  0.02, Accuracy:  99.22%, Time usage: 20m 18s .
Epoch:   200 processes:    1 Step   200, Loss:  0.00, Accuracy: 100.00%, Time usage: 20m 35s .
Epoch:   300 processes:    1 Step   300, Loss:  0.01, Accuracy: 100.00%, Time usage: 20m 52s .
Epoch:   400 processes:    1 Step   400, Loss:  0.00, Accuracy: 100.00%, Time usage: 21m  8s .
 Time usage of train: 21m 14s .
Step     0, Loss:  0.02, Accuracy:  99.22%, Time usage:  0m  3s .
Test Loss:  0.04, Accuracy: 99.30%
test correctL:9930, len of test:10000
Time Usage:  0.13 mins.
The accuracy of plane: 0.9979591836734694
The accuracy of car: 0.9947136563876652
The accuracy of bird: 0.9961240310077519
The accuracy of cat: 0.997029702970297
The accuracy of deer: 0.9938900203665988
The accuracy of dog: 0.992152466367713
The accuracy of frog: 0.9926931106471816
The accuracy of horse: 0.9931906614785992
The accuracy of ship: 0.9948665297741273
The accuracy of truck: 0.977205153617443
