Epoch:   300 processes:    1 Step   300, Loss:  0.00, Accuracy: 100.00%, Time usage: 46m 32s .
Epoch:   400 processes:    1 Step   400, Loss:  0.03, Accuracy:  99.22%, Time usage: 47m 27s .
Epoch:     0 processes:    0 Step     0, Loss:  0.00, Accuracy: 100.00%, Time usage: 48m  9s .
Epoch:   100 processes:    0 Step   100, Loss:  0.00, Accuracy: 100.00%, Time usage: 49m  3s .
Epoch:   200 processes:    0 Step   200, Loss:  0.04, Accuracy:  99.22%, Time usage: 49m 58s .
Epoch:   300 processes:    0 Step   300, Loss:  0.02, Accuracy:  99.22%, Time usage: 50m 53s .
Epoch:   400 processes:    0 Step   400, Loss:  0.00, Accuracy: 100.00%, Time usage: 51m 49s .
Epoch:     0 processes:    1 Step     0, Loss:  0.00, Accuracy: 100.00%, Time usage: 48m 13s .
Epoch:   100 processes:    1 Step   100, Loss:  0.00, Accuracy: 100.00%, Time usage: 49m  6s .
Epoch:   200 processes:    1 Step   200, Loss:  0.00, Accuracy: 100.00%, Time usage: 50m  1s .
Epoch:   300 processes:    1 Step   300, Loss:  0.05, Accuracy:  98.44%, Time usage: 50m 57s .
Epoch:   400 processes:    1 Step   400, Loss:  0.01, Accuracy:  99.22%, Time usage: 51m 53s .
Epoch:     0 processes:    0 Step     0, Loss:  0.01, Accuracy: 100.00%, Time usage: 52m 36s .
Epoch:   100 processes:    0 Step   100, Loss:  0.03, Accuracy:  98.44%, Time usage: 53m 36s .
Epoch:   200 processes:    0 Step   200, Loss:  0.00, Accuracy: 100.00%, Time usage: 54m 32s .
Epoch:   300 processes:    0 Step   300, Loss:  0.00, Accuracy: 100.00%, Time usage: 55m 28s .
Epoch:   400 processes:    0 Step   400, Loss:  0.00, Accuracy: 100.00%, Time usage: 56m 21s .
Epoch:     0 processes:    1 Step     0, Loss:  0.00, Accuracy: 100.00%, Time usage: 52m 40s .
Epoch:   100 processes:    1 Step   100, Loss:  0.06, Accuracy:  99.22%, Time usage: 53m 38s .
Epoch:   200 processes:    1 Step   200, Loss:  0.00, Accuracy: 100.00%, Time usage: 54m 34s .
Epoch:   300 processes:    1 Step   300, Loss:  0.00, Accuracy: 100.00%, Time usage: 55m 30s .
Epoch:   400 processes:    1 Step   400, Loss:  0.01, Accuracy:  99.22%, Time usage: 56m 23s .
Epoch:     0 processes:    0 Step     0, Loss:  0.00, Accuracy: 100.00%, Time usage: 57m  4s .
Epoch:   100 processes:    0 Step   100, Loss:  0.00, Accuracy: 100.00%, Time usage: 57m 59s .
