Step     0, Loss:  2.44, Accuracy:   7.81%, Time usage:  0m  3s .
Step 11200, Loss:  0.01, Accuracy: 100.00%, Time usage: 16m 53s .
Step 11300, Loss:  0.00, Accuracy: 100.00%, Time usage: 17m  6s .
Step 11400, Loss:  0.00, Accuracy: 100.00%, Time usage: 17m 17s .
Step 11500, Loss:  0.05, Accuracy:  99.22%, Time usage: 17m 27s .
Step 11600, Loss:  0.02, Accuracy:  99.22%, Time usage: 17m 38s .
Step 11700, Loss:  0.00, Accuracy: 100.00%, Time usage: 17m 48s .
Step 11800, Loss:  0.01, Accuracy:  99.22%, Time usage: 18m  2s .
Step 11900, Loss:  0.00, Accuracy: 100.00%, Time usage: 18m 13s .
Step 12000, Loss:  0.05, Accuracy:  98.44%, Time usage: 18m 23s .
Step 12100, Loss:  0.00, Accuracy: 100.00%, Time usage: 18m 33s .
Step 12200, Loss:  0.01, Accuracy:  99.22%, Time usage: 18m 48s .
Step 12300, Loss:  0.00, Accuracy: 100.00%, Time usage: 18m 58s .
Step 12400, Loss:  0.01, Accuracy: 100.00%, Time usage: 19m  7s .
Step 12500, Loss:  0.01, Accuracy:  99.22%, Time usage: 19m 17s .
Step 12600, Loss:  0.01, Accuracy:  99.22%, Time usage: 19m 28s .
Step 12700, Loss:  0.00, Accuracy: 100.00%, Time usage: 19m 41s .
Step 12800, Loss:  0.03, Accuracy:  98.44%, Time usage: 19m 51s .
Step 12900, Loss:  0.02, Accuracy:  99.22%, Time usage: 20m  1s .
Step 13000, Loss:  0.00, Accuracy: 100.00%, Time usage: 20m 11s .
Step 13100, Loss:  0.00, Accuracy: 100.00%, Time usage: 20m 21s .
Step 13200, Loss:  0.01, Accuracy:  99.22%, Time usage: 20m 36s .
Step 13300, Loss:  0.01, Accuracy: 100.00%, Time usage: 20m 46s .
Step 13400, Loss:  0.00, Accuracy: 100.00%, Time usage: 20m 57s .
Step 13500, Loss:  0.01, Accuracy: 100.00%, Time usage: 21m  7s .
Step 13600, Loss:  0.00, Accuracy:  75.00%, Time usage: 21m 17s .
Step 13700, Loss:  0.01, Accuracy: 100.00%, Time usage: 21m 32s .
Step 13800, Loss:  0.01, Accuracy:  99.22%, Time usage: 21m 42s .
Step 13900, Loss:  0.04, Accuracy:  99.22%, Time usage: 21m 52s .
Step 14000, Loss:  0.00, Accuracy: 100.00%, Time usage: 22m  3s .
 Time usage of train: 22m  3s .
Step     0, Loss:  0.03, Accuracy:  98.44%, Time usage:  0m  3s .
Test Loss:  0.04, Accuracy: 99.24%
test correctL:9924, len of test:10000
Time Usage:  0.13 mins.
The accuracy of plane: 0.996938775510204
The accuracy of car: 0.9955947136563876
The accuracy of bird: 0.9893410852713178
The accuracy of cat: 0.996039603960396
The accuracy of deer: 0.9928716904276986
The accuracy of dog: 0.9910313901345291
The accuracy of frog: 0.9906054279749478
The accuracy of horse: 0.9922178988326849
The accuracy of ship: 0.9928131416837782
The accuracy of truck: 0.9861248761149654
